timestamp,repetition,size_bytes,total_us,avg_us,min_us,max_us
2025-10-20 18:23:56,1,1,199.279,19.928,12.743,54.308
2025-10-20 18:23:59,1,4,174.154,17.415,13.835,35.193
2025-10-20 18:24:02,1,16,162.052,16.205,12.262,36.376
2025-10-20 18:24:05,1,64,178.732,17.873,12.893,38.700
2025-10-20 18:24:09,1,256,144.991,14.499,9.387,35.865
2025-10-20 18:24:12,1,1024,131.567,13.157,9.397,27.760
2025-10-20 18:24:15,1,4096,160.880,16.088,11.451,35.264
2025-10-20 18:24:18,1,16384,178.742,17.874,12.172,53.136
2025-10-20 18:24:21,1,65536,162.814,16.281,11.501,34.813
2025-10-20 18:24:25,1,262144,262.573,26.257,19.575,52.835
2025-10-20 18:24:28,1,1048576,515.519,51.552,40.032,93.198
2025-10-20 18:24:31,1,4194304,1026.300,102.630,78.171,228.041
2025-10-20 18:24:34,1,16777216,2173.829,217.383,186.987,354.900
2025-10-20 18:24:38,1,67108864,4888.684,488.868,397.447,634.594

2025-10-20 18:24:41,2,1,108.750,10.875,7.190,32.209
2025-10-20 18:24:44,2,4,166.170,16.617,11.751,39.201
2025-10-20 18:24:47,2,16,141.625,14.163,9.828,31.226
2025-10-20 18:24:50,2,64,160.199,16.020,11.781,32.068
2025-10-20 18:24:54,2,256,145.522,14.552,11.100,29.593
2025-10-20 18:24:57,2,1024,196.945,19.695,12.643,60.178
2025-10-20 18:25:00,2,4096,172.140,17.214,12.072,38.189
2025-10-20 18:25:03,2,16384,184.182,18.418,13.424,35.394
2025-10-20 18:25:07,2,65536,223.162,22.316,15.177,51.423
2025-10-20 18:25:10,2,262144,267.382,26.738,20.327,52.555
2025-10-20 18:25:13,2,1048576,552.316,55.232,41.635,109.768
2025-10-20 18:25:16,2,4194304,1057.066,105.707,80.565,232.639
2025-10-20 18:25:19,2,16777216,2142.603,214.260,178.722,389.232
2025-10-20 18:25:23,2,67108864,4841.038,484.104,388.871,635.796

2025-10-20 18:25:26,3,1,161.341,16.134,11.350,34.312
2025-10-20 18:25:29,3,4,155.580,15.558,11.541,30.545
2025-10-20 18:25:32,3,16,152.866,15.287,11.391,30.705
2025-10-20 18:25:36,3,64,172.862,17.286,13.274,36.015
2025-10-20 18:25:39,3,256,174.695,17.469,12.483,36.967
2025-10-20 18:25:42,3,1024,174.535,17.453,13.294,37.387
2025-10-20 18:25:45,3,4096,179.664,17.966,12.863,35.604
2025-10-20 18:25:48,3,16384,188.159,18.816,12.312,54.849
2025-10-20 18:25:52,3,65536,199.329,19.933,15.117,39.651
2025-10-20 18:25:55,3,262144,286.517,28.652,20.797,71.789
2025-10-20 18:25:58,3,1048576,529.905,52.991,41.124,99.029
2025-10-20 18:26:01,3,4194304,1073.676,107.368,80.455,224.044
2025-10-20 18:26:05,3,16777216,2057.770,205.777,176.969,338.560
2025-10-20 18:26:08,3,67108864,4822.424,482.242,385.886,631.899

2025-10-20 18:26:11,4,1,177.771,17.777,11.751,42.176
2025-10-20 18:26:14,4,4,177.811,17.781,11.320,48.147
2025-10-20 18:26:17,4,16,166.140,16.614,12.793,31.807
2025-10-20 18:26:21,4,64,171.189,17.119,11.731,39.541
2025-10-20 18:26:24,4,256,152.555,15.256,10.008,33.601
2025-10-20 18:26:27,4,1024,124.194,12.419,9.157,25.316
2025-10-20 18:26:30,4,4096,164.426,16.443,12.252,33.591
2025-10-20 18:26:34,4,16384,167.041,16.704,10.880,40.363
2025-10-20 18:26:37,4,65536,229.754,22.975,14.777,67.642
2025-10-20 18:26:40,4,262144,245.733,24.573,18.383,51.443
2025-10-20 18:26:43,4,1048576,541.687,54.169,42.186,102.855
2025-10-20 18:26:46,4,4194304,1053.910,105.391,79.914,218.704
2025-10-20 18:26:50,4,16777216,2178.067,217.807,180.706,395.062
2025-10-20 18:26:53,4,67108864,4815.011,481.501,382.560,620.499

2025-10-20 18:26:56,5,1,160.970,16.097,11.541,42.667
2025-10-20 18:26:59,5,4,157.815,15.781,11.771,31.767
2025-10-20 18:27:03,5,16,172.311,17.231,12.462,39.702
2025-10-20 18:27:06,5,64,199.450,19.945,11.821,63.344
2025-10-20 18:27:09,5,256,160.129,16.013,11.861,34.332
2025-10-20 18:27:12,5,1024,174.505,17.450,13.645,32.068
2025-10-20 18:27:15,5,4096,188.670,18.867,12.793,36.576
2025-10-20 18:27:19,5,16384,157.514,15.751,11.681,32.709
2025-10-20 18:27:22,5,65536,190.303,19.030,13.184,41.535
2025-10-20 18:27:25,5,262144,266.270,26.627,19.185,52.284
2025-10-20 18:27:28,5,1048576,528.433,52.843,42.026,97.005
2025-10-20 18:27:32,5,4194304,1014.469,101.447,79.043,177.570
2025-10-20 18:27:35,5,16777216,1890.689,189.069,156.622,370.258
2025-10-20 18:27:38,5,67108864,4926.292,492.629,402.235,618.615

2025-10-20 18:27:41,6,1,170.758,17.076,11.411,44.230
2025-10-20 18:27:44,6,4,183.902,18.390,13.044,38.790
2025-10-20 18:27:48,6,16,164.887,16.489,11.701,33.540
2025-10-20 18:27:51,6,64,172.231,17.223,11.200,41.765
2025-10-20 18:27:54,6,256,167.382,16.738,11.591,38.900
2025-10-20 18:27:57,6,1024,183.531,18.353,14.286,32.889
2025-10-20 18:28:01,6,4096,161.752,16.175,12.012,35.324
2025-10-20 18:28:04,6,16384,172.832,17.283,12.122,36.626
2025-10-20 18:28:07,6,65536,148.450,14.845,10.306,33.312
2025-10-20 18:28:10,6,262144,267.051,26.705,20.317,51.132
2025-10-20 18:28:13,6,1048576,543.650,54.365,42.537,104.348
2025-10-20 18:28:17,6,4194304,1054.812,105.481,80.645,231.768
2025-10-20 18:28:20,6,16777216,2158.752,215.875,180.325,389.011
2025-10-20 18:28:23,6,67108864,4870.381,487.038,394.882,677.912

2025-10-20 18:28:26,7,1,171.910,17.191,12.673,38.580
2025-10-20 18:28:30,7,4,158.235,15.824,12.513,27.159
2025-10-20 18:28:33,7,16,152.996,15.300,11.411,27.279
2025-10-20 18:28:36,7,64,167.181,16.718,11.531,34.763
2025-10-20 18:28:39,7,256,191.004,19.100,12.212,60.689
2025-10-20 18:28:42,7,1024,146.634,14.663,9.818,32.889
2025-10-20 18:28:46,7,4096,158.366,15.837,12.152,32.058
2025-10-20 18:28:49,7,16384,174.434,17.443,13.184,39.982
2025-10-20 18:28:52,7,65536,185.695,18.569,14.656,33.971
2025-10-20 18:28:55,7,262144,277.971,27.797,19.856,72.581
2025-10-20 18:28:58,7,1048576,564.628,56.463,41.715,130.746
2025-10-20 18:29:02,7,4194304,1056.094,105.609,79.674,232.659
2025-10-20 18:29:05,7,16777216,2078.477,207.848,171.750,351.363
2025-10-20 18:29:08,7,67108864,4827.704,482.770,392.999,623.845

2025-10-20 18:29:11,8,1,173.483,17.348,12.783,37.508
2025-10-20 18:29:15,8,4,164.246,16.425,11.621,37.908
2025-10-20 18:29:18,8,16,154.699,15.470,11.711,28.972
2025-10-20 18:29:21,8,64,197.055,19.706,12.873,52.404
2025-10-20 18:29:24,8,256,148.448,14.845,11.290,27.089
2025-10-20 18:29:27,8,1024,164.877,16.488,12.042,32.659
2025-10-20 18:29:31,8,4096,162.393,16.239,11.972,37.698
2025-10-20 18:29:34,8,16384,157.694,15.769,11.751,31.607
2025-10-20 18:29:37,8,65536,189.211,18.921,13.534,40.162
2025-10-20 18:29:40,8,262144,269.115,26.912,19.405,58.045
2025-10-20 18:29:44,8,1048576,536.337,53.634,41.926,104.699
2025-10-20 18:29:47,8,4194304,1093.972,109.397,79.012,225.196
2025-10-20 18:29:50,8,16777216,2183.467,218.347,171.760,423.754
2025-10-20 18:29:53,8,67108864,4870.882,487.088,390.204,632.510

2025-10-20 18:29:56,9,1,165.308,16.531,11.781,39.361
2025-10-20 18:30:00,9,4,161.331,16.133,11.811,34.743
2025-10-20 18:30:03,9,16,164.967,16.497,11.801,39.581
2025-10-20 18:30:06,9,64,162.383,16.238,11.671,32.839
2025-10-20 18:30:09,9,256,156.612,15.661,11.631,35.634
2025-10-20 18:30:13,9,1024,222.641,22.264,12.523,77.089
2025-10-20 18:30:16,9,4096,178.993,17.899,12.953,35.183
2025-10-20 18:30:19,9,16384,182.519,18.252,12.002,42.727
2025-10-20 18:30:22,9,65536,180.846,18.085,14.055,36.025
2025-10-20 18:30:25,9,262144,262.523,26.252,19.275,49.579
2025-10-20 18:30:29,9,1048576,541.486,54.149,40.243,101.283
2025-10-20 18:30:32,9,4194304,1014.118,101.412,81.427,181.267
2025-10-20 18:30:35,9,16777216,2214.252,221.425,182.369,400.151
2025-10-20 18:30:39,9,67108864,4885.598,488.560,389.011,617.954

2025-10-20 18:30:42,10,1,162.743,16.274,11.962,36.516
2025-10-20 18:30:45,10,4,157.464,15.746,11.731,32.328
2025-10-20 18:30:48,10,16,138.650,13.865,9.497,33.601
2025-10-20 18:30:51,10,64,173.012,17.301,11.541,40.944
2025-10-20 18:30:54,10,256,176.929,17.693,11.731,53.236
2025-10-20 18:30:58,10,1024,153.296,15.330,11.581,28.511
2025-10-20 18:31:01,10,4096,162.723,16.272,11.691,33.791
2025-10-20 18:31:04,10,16384,180.095,18.009,12.102,50.752
2025-10-20 18:31:07,10,65536,193.008,19.301,12.613,40.343
2025-10-20 18:31:11,10,262144,252.625,25.263,17.542,50.902
2025-10-20 18:31:14,10,1048576,528.503,52.850,42.066,94.430
2025-10-20 18:31:17,10,4194304,930.157,93.016,69.034,257.394
2025-10-20 18:31:20,10,16777216,2145.077,214.508,178.852,353.748
2025-10-20 18:31:24,10,67108864,4818.467,481.847,388.651,631.489

2025-10-20 18:31:27,11,1,158.155,15.816,11.751,35.053
2025-10-20 18:31:30,11,4,165.889,16.589,11.531,36.746
2025-10-20 18:31:33,11,16,195.743,19.574,14.707,42.096
2025-10-20 18:31:36,11,64,174.084,17.408,11.290,40.192
2025-10-20 18:31:40,11,256,164.366,16.437,11.481,39.361
2025-10-20 18:31:43,11,1024,146.354,14.635,9.497,34.933
2025-10-20 18:31:46,11,4096,169.676,16.968,13.164,31.908
2025-10-20 18:31:49,11,16384,161.151,16.115,12.232,31.046
2025-10-20 18:31:52,11,65536,207.905,20.790,14.356,50.541
2025-10-20 18:31:56,11,262144,278.652,27.865,19.906,53.537
2025-10-20 18:31:59,11,1048576,536.457,53.646,41.665,101.443
2025-10-20 18:32:02,11,4194304,1024.467,102.447,78.842,198.067
2025-10-20 18:32:05,11,16777216,2164.032,216.403,178.933,405.090
2025-10-20 18:32:09,11,67108864,4712.476,471.248,394.451,614.448

2025-10-20 18:32:12,12,1,180.706,18.071,13.444,37.337
2025-10-20 18:32:15,12,4,167.933,16.793,12.142,33.581
2025-10-20 18:32:18,12,16,180.706,18.071,13.434,37.177
2025-10-20 18:32:21,12,64,163.304,16.330,12.322,36.897
2025-10-20 18:32:25,12,256,168.694,16.869,11.381,34.652
2025-10-20 18:32:28,12,1024,179.564,17.956,12.843,39.621
2025-10-20 18:32:31,12,4096,165.308,16.531,11.741,36.336
2025-10-20 18:32:34,12,16384,169.055,16.905,12.042,41.475
2025-10-20 18:32:38,12,65536,183.321,18.332,14.226,34.352
2025-10-20 18:32:41,12,262144,263.555,26.356,20.297,50.251
2025-10-20 18:32:44,12,1048576,567.193,56.719,42.186,109.107
2025-10-20 18:32:47,12,4194304,1086.148,108.615,82.108,244.781
2025-10-20 18:32:50,12,16777216,2167.899,216.790,177.199,425.607
2025-10-20 18:32:54,12,67108864,4944.244,494.424,396.705,641.396

2025-10-20 18:32:57,13,1,179.203,17.920,13.033,35.764
2025-10-20 18:33:00,13,4,156.933,15.693,11.260,36.215
2025-10-20 18:33:03,13,16,157.594,15.759,10.950,30.645
2025-10-20 18:33:07,13,64,151.523,15.152,10.960,27.289
2025-10-20 18:33:10,13,256,158.356,15.836,10.820,43.849
2025-10-20 18:33:13,13,1024,151.874,15.187,11.220,31.186
2025-10-20 18:33:16,13,4096,166.831,16.683,12.442,33.170
2025-10-20 18:33:19,13,16384,195.432,19.543,12.803,53.757
2025-10-20 18:33:23,13,65536,200.491,20.049,13.544,43.228
2025-10-20 18:33:26,13,262144,265.909,26.591,20.617,49.569
2025-10-20 18:33:29,13,1048576,552.466,55.247,42.727,103.567
2025-10-20 18:33:32,13,4194304,1035.457,103.546,79.513,227.260
2025-10-20 18:33:36,13,16777216,2111.537,211.154,178.552,355.481
2025-10-20 18:33:39,13,67108864,4898.191,489.819,383.381,630.837

2025-10-20 18:33:42,14,1,185.454,18.545,13.074,39.912
2025-10-20 18:33:45,14,4,180.175,18.017,13.244,34.903
2025-10-20 18:33:48,14,16,154.348,15.435,12.432,26.488
2025-10-20 18:33:52,14,64,156.923,15.692,11.541,35.785
2025-10-20 18:33:55,14,256,147.396,14.740,9.828,36.225
2025-10-20 18:33:58,14,1024,155.110,15.511,11.020,29.603
2025-10-20 18:34:01,14,4096,177.250,17.725,11.471,48.968
2025-10-20 18:34:05,14,16384,189.321,18.932,12.382,53.016
2025-10-20 18:34:08,14,65536,182.729,18.273,11.581,50.070
2025-10-20 18:34:11,14,262144,249.981,24.998,19.826,45.322
2025-10-20 18:34:14,14,1048576,557.475,55.748,41.555,106.121
2025-10-20 18:34:17,14,4194304,1090.726,109.073,80.625,227.420
2025-10-20 18:34:21,14,16777216,2121.906,212.191,184.422,346.124
2025-10-20 18:34:24,14,67108864,4802.298,480.230,396.605,628.413

2025-10-20 18:34:27,15,1,166.891,16.689,12.843,35.324
2025-10-20 18:34:30,15,4,165.118,16.512,13.314,28.471
2025-10-20 18:34:34,15,16,151.153,15.115,9.647,35.895
2025-10-20 18:34:37,15,64,152.014,15.201,11.561,29.433
2025-10-20 18:34:40,15,256,152.305,15.230,11.090,30.455
2025-10-20 18:34:43,15,1024,146.133,14.613,11.621,25.075
2025-10-20 18:34:46,15,4096,171.810,17.181,12.422,40.082
2025-10-20 18:34:50,15,16384,165.558,16.556,13.184,31.216
2025-10-20 18:34:53,15,65536,176.208,17.621,13.144,40.623
2025-10-20 18:34:56,15,262144,248.268,24.827,19.475,44.741
2025-10-20 18:34:59,15,1048576,534.804,53.480,41.675,92.306
2025-10-20 18:35:02,15,4194304,1001.476,100.148,78.802,176.568
2025-10-20 18:35:06,15,16777216,2083.076,208.308,177.119,346.415
2025-10-20 18:35:09,15,67108864,4722.154,472.215,390.925,630.206

2025-10-20 18:35:12,16,1,159.938,15.994,11.471,36.386
2025-10-20 18:35:15,16,4,175.687,17.569,12.933,35.744
2025-10-20 18:35:19,16,16,157.434,15.743,11.160,40.353
2025-10-20 18:35:22,16,64,174.274,17.427,13.284,34.392
2025-10-20 18:35:25,16,256,152.986,15.299,11.471,36.035
2025-10-20 18:35:28,16,1024,158.175,15.818,11.671,30.685
2025-10-20 18:35:31,16,4096,193.699,19.370,13.334,40.643
2025-10-20 18:35:35,16,16384,225.617,22.562,13.695,67.091
2025-10-20 18:35:38,16,65536,196.244,19.624,13.785,44.731
2025-10-20 18:35:41,16,262144,263.104,26.310,19.635,53.436
2025-10-20 18:35:44,16,1048576,590.354,59.035,45.853,108.015
2025-10-20 18:35:48,16,4194304,1064.890,106.489,79.604,217.813
2025-10-20 18:35:51,16,16777216,2108.171,210.817,176.238,345.583
2025-10-20 18:35:54,16,67108864,4931.371,493.137,392.397,623.735

